model,protein
X-1173,6423
X-1173,16860
X-1173,3186
X-1173,13227
X-1173,15394
X-1173,13324
X-1173,16278
X-1173,6145
X-1173,1513
X-1173,13736
X-1173,16374
X-1173,7903
X-1173,15186
X-1173,8223
X-1173,14523
X-1173,15369
X-1173,8499
X-1173,9639
X-1173,3245
X-1173,16413
X-1173,12621
X-1173,3502
X-1173,8236
X-1173,10617
X-1173,16426
X-1173,11633
X-1173,7670
X-1173,12706
X-1173,4967
X-1173,8238
X-1173,9703
X-1173,3217
X-1173,9666
X-1173,9671
X-1173,4390
X-1173,15859
X-1173,16434
X-1173,809
X-1173,10219
X-1173,4444
X-1173,11521
X-1173,4803
X-1173,6060
X-1173,9561
X-1173,4067
X-1173,15228
X-1173,14604
X-1173,473
X-1173,14690
X-1173,14373
X-1173,967
X-1173,11669
X-1173,853
