model,protein
X-1119,6192
X-1119,1232
X-1119,8501
X-1119,6256
X-1119,13077
X-1119,11044
X-1119,14345
X-1119,16495
X-1119,14798
X-1119,4700
X-1119,1664
X-1119,2414
X-1119,2872
X-1119,4891
X-1119,14445
X-1119,9009
X-1119,6226
X-1119,13887
X-1119,10089
X-1119,17015
X-1119,4032
X-1119,408
X-1119,8106
X-1119,12865
X-1119,15774
X-1119,8250
X-1119,14018
X-1119,3820
X-1119,12865
X-1119,10694
X-1119,14488
X-1119,10665
X-1119,10779
X-1119,9093
X-1119,5383
X-1119,12126
X-1119,12652
X-1119,5493
X-1119,16166
X-1119,15793
X-1119,625
X-1119,723
X-1119,8232
X-1119,16586
X-1119,13574
X-1119,12375
X-1119,16177
X-1119,16199
X-1119,15967
X-1119,14758
X-1119,8229
X-1119,15123
X-1119,13425
X-1119,14608
X-1119,12445
X-1119,2010
X-1119,14775
X-1119,16191
X-1119,8230
X-1119,3341
X-1119,14718
X-1119,5539
X-1119,9200
X-1119,5673
X-1119,17148
X-1119,9981
X-1119,14136
X-1119,7725
X-1119,10289
X-1119,2391
X-1119,15850
X-1119,8234
X-1119,6423
X-1119,16860
X-1119,3186
X-1119,13227
X-1119,15394
X-1119,13324
X-1119,16278
X-1119,6145
X-1119,1513
X-1119,13736
X-1119,16374
X-1119,7903
X-1119,15186
X-1119,8223
X-1119,14523
X-1119,15369
X-1119,8499
X-1119,9639
X-1119,3245
X-1119,16413
X-1119,12621
X-1119,3502
X-1119,8236
X-1119,10617
X-1119,16426
X-1119,11633
X-1119,7670
X-1119,12706
X-1119,4967
X-1119,8238
X-1119,11257
X-1119,9703
X-1119,3217
X-1119,9666
X-1119,9700
X-1119,9670
X-1119,9671
X-1119,4390
X-1119,15859
X-1119,11829
X-1119,8902
X-1119,698
X-1119,13540
X-1119,16434
X-1119,11685
X-1119,17054
X-1119,3195
X-1119,16819
X-1119,809
X-1119,10219
X-1119,7924
X-1119,14461
X-1119,7949
X-1119,3161
X-1119,11521
X-1119,7925
X-1119,4803
X-1119,4306
X-1119,6060
X-1119,7422
X-1119,746
X-1119,9561
X-1119,2340
X-1119,4067
X-1119,4066
X-1119,15228
X-1119,473
X-1119,5080
X-1119,5202
X-1119,14360
X-1119,13584
X-1119,7038
X-1119,967
X-1119,11669
X-1119,853
X-1119,8160
X-1119,16564
X-1119,12294
X-1119,12654
X-1119,7497
X-1119,11624
X-1119,7856
X-1119,10771
X-1119,5110
X-1119,8751
X-1119,5516
X-1119,9892
X-1119,2603
X-1119,329
X-1119,10376
X-1119,2686
X-1119,12615
X-1156,16086
